URL,Title,Description,Keywords,Title Exists (True/False),Description Exists (True/False),Keywords Exists (True/False)
https://palliative.zdrav.mosreg.ru/obezbolivanie/perechen_zhiznenno_neobhodimih_i_vazhneishih_lekarstvennih_p,Перечень жизненно необходимых и важнейших лекарственных препаратов (ЖНВЛП),"Перечень жизненно необходимых и важнейших лекарственных препаратов (ЖНВЛП) — это таблица, которая поделена на разделы по заболеваниям органов и систем.",,True,True,False
https://palliative.zdrav.mosreg.ru/obezbolivanie/obezbolivanie_palliativnih_patsientov_,Обезболивание паллиативных пациентов,Обезболивание паллиативных пациентов является одной из важнейших задач паллиативной медицины.,,True,True,False
https://palliative.zdrav.mosreg.ru/obezbolivanie/otsenka_boli_u_detei_,Оценка боли у детей,Оценка боли у детей отличается от таковой у взрослых,,True,True,False
https://palliative.zdrav.mosreg.ru/obezbolivanie/obezbolivanie_palliativnih_patsientov,Обезболивание паллиативных пациентов,Обезболивание паллиативных пациентов должно производиться строго по рекомендации врача.,,True,True,False
https://palliative.zdrav.mosreg.ru/pomosch_detyam/gde_i_kak_poluchit_palliativnuyu_pomosch,Где и как получить паллиативную помощь,"Узнайте, какие учреждения предоставляют паллиативную медицинскую помощь детям в Москве и Московской области. Пошаговая инструкция по получению необходимой поддержки.",,True,True,False
https://palliative.zdrav.mosreg.ru/pomosch_detyam/osobennosti_palliativnoi_meditsinskoi_pomoschi_dlya_detei,Особенности паллиативной медицинской помощи для детей,"Дети уникальны и они не являются «маленькими взрослыми». Несмотря на то, что паллиативная помощь взрослым и детям имеет определенные сходства, между ними существуют значительные различия по следующим основным компонентам",,True,True,False
https://palliative.zdrav.mosreg.ru/pomosch_detyam/spisok_zabolevanii,Список детских заболеваний,"Дети с паллиативным статусом — это одна из категорий детей инвалидов. Это дети, страдающие болезнями, которые невозможно вылечить, но можно облегчить тяжесть их течения.",,True,True,False
https://palliative.zdrav.mosreg.ru/pomosch_detyam/shkola_palliativnoi_pomoschi_dlya_roditelei,Школа гигиены полости рта для паллиативных детей,Уход за зубами паллиативного ребенка в домашних условиях,,True,True,False
https://palliative.zdrav.mosreg.ru/pomosch_detyam/gastrostoma_u_detei,Питание паллиативных детей,"До сих пор в нашей стране существует страх установки гастростомы детям. Современная гастростома — это удобно и безопасно. Кормить через нее проще, чем с ложки и безопасней, чем через назогастральный зонд.",,True,True,False
https://palliative.zdrav.mosreg.ru/pomosch_detyam/https://palliative.zdrav.mosreg.ru/appeal_form,,,,False,False,False
https://palliative.zdrav.mosreg.ru/pomosch_detyam,Помощь детям,"Когда речь заходит о паллиативной помощи ребенку, его родители испытывают жесточайший стресс. Ведь это означает, что возможности медицины исчерпаны, а выздоровление невозможно.",,True,True,False
https://palliative.zdrav.mosreg.ru/pomosch_vzroslim/dlya_chego_nuzhna_palliativnaya_pomosch,Для чего нужна паллиативная помощь,"Паллиативный уход - это подход к медицинскому уходу, который направлен на облегчение страдания и улучшение качества жизни пациентов с тяжелыми, неизлечимыми или прогрессирующими заболеваниями.",,True,True,False
https://palliative.zdrav.mosreg.ru/pomosch_vzroslim/kto_imeet_pravo_na_palliativnuyu_pomosch,Кто имеет право на паллиативную помощь,"Узнайте, кому предоставляется паллиативная медицинская помощь и какие условия необходимо соблюдать для её получения. Поддержка и уход для тяжелобольных пациентов.",,True,True,False
https://palliative.zdrav.mosreg.ru/pomosch_vzroslim/kak_poluchit_zaklyuchenie_vrachebnoi_komissii_ili_konsiliuma,Как зарегистрироваться в паллиативном реестре,"Узнайте, как правильно оформить и получить заключение врачебной комиссии для дальнейшего лечения или реабилитации. Пошаговый процесс и необходимые документы.",,True,True,False
https://palliative.zdrav.mosreg.ru/pomosch_vzroslim/normativnaya_baza,Нормативная база,"Ознакомьтесь с основными законами и нормативными актами, регулирующими оказание паллиативной медицинской помощи взрослым. Важные документы и правовые основы.",,True,True,False
https://palliative.zdrav.mosreg.ru/pomosch_vzroslim,О паллиативной помощи,Помощь паллиативным пациентам.,,True,True,False
https://palliative.zdrav.mosreg.ru/uslugi/gospitalizatsiya,Стационарная помощь,"В отделение паллиативной помощи госпитализируются пациенты, нуждающиеся в активной поддерживающей терапии и специальном уходе. Пациенты, проходящие паллиативное лечение, не всегда находятся в терминальной стадии болезни.",,True,True,False
